Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 2,79
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 3,79
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 2,79
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 3,79
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 2,79
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 3,79
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 2,89
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 3,89
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 2,89
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 3,89
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 2,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 3,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 2,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 2,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntry,Long Statement,The length of the statement "assertThat(expected).hasMessage("Not true that <[jan=1` feb=2` march=3]> contains exactly <[jan=1` feb=2]>. " + "It has unexpected items <[march=3]>");" is 151.,115
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntry,Magic Number,The method contains a magic number: 2,115
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntry,Magic Number,The method contains a magic number: 3,115
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntry,Magic Number,The method contains a magic number: 2,115
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntryInOrder,Long Statement,The length of the statement "assertThat(expected).hasMessage("Not true that <[jan=1` feb=2` march=3]> contains exactly <[feb=2` jan=1]>. " + "It has unexpected items <[march=3]>");" is 151.,133
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntryInOrder,Magic Number,The method contains a magic number: 2,133
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntryInOrder,Magic Number,The method contains a magic number: 3,133
truth,com.google.common.truth,MapSubjectTest,containsExactlyMissingEntryInOrder,Magic Number,The method contains a magic number: 2,133
truth,com.google.common.truth,MapSubjectTest,containsExactlyNotInOrder,Long Statement,The length of the statement "assertThat(expected).hasMessage("Not true that <[jan=1` feb=2` march=3]> contains exactly these elements in order " + "<[jan=1` march=3` feb=2]>");" is 147.,151
truth,com.google.common.truth,MapSubjectTest,containsExactlyNotInOrder,Magic Number,The method contains a magic number: 2,151
truth,com.google.common.truth,MapSubjectTest,containsExactlyNotInOrder,Magic Number,The method contains a magic number: 3,151
truth,com.google.common.truth,MapSubjectTest,containsExactlyNotInOrder,Magic Number,The method contains a magic number: 3,151
