Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
truth,com.google.common.truth,SubjectFactoryReflectionTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.common.truth.SubjectFactory
truth,com.google.common.truth,SubjectPropertiesTest.A,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (namedIncludesActualStringValue) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.StringSubject.startsWith
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (relabeledBooleans) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.BooleanSubject.isTrue
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (relabeledObject) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.Subject.isA
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (relabelledCollections) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.CollectionSubject.has
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (relabelledPrimitiveFloatArrays) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.AbstractArraySubject.named; com.google.common.truth.PrimitiveFloatArraySubject.isNotEqualTo
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessageIsPrepended) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessageIsPrependedWithNamed) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage; com.google.common.truth.Subject.named
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessage) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage; com.google.common.truth.BooleanSubject.isTrue
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessageOnDelegate) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage; com.google.common.truth.StringSubject.isEqualTo
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessageOnForEach) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage; com.google.common.truth.StringSubject.contains
truth,com.google.common.truth,AbstractVerbTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.common.truth.AbstractVerb
truth,com.google.common.truth,AbstractVerbTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: strings
truth,com.google.common.truth,IterationOverSubjectTest,Law of Demeter violation,The tool detected the smell in this method (thatEachInteger) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.IntegerSubject.isNotEqualTo
truth,com.google.common.truth,IterationOverSubjectTest,Law of Demeter violation,The tool detected the smell in this method (thatEachInteger) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.IntegerSubject.isNotEqualTo
truth,com.google.common.truth,IterationOverSubjectTest,Law of Demeter violation,The tool detected the smell in this method (thatEachLong) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.LongSubject.isNotEqualTo
truth,com.google.common.truth,IterationOverSubjectTest,Law of Demeter violation,The tool detected the smell in this method (thatEachLong) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.LongSubject.isNotEqualTo
