Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
truth,com.google.common.truth,AutoValue_ActualValueInference_OpaqueEntry,hashCode,Magic Number,The method contains a magic number: 1000003,37
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,hashCode,Magic Number,The method contains a magic number: 1000003,50
truth,com.google.common.truth,AutoValue_ActualValueInference_SubjectEntry,hashCode,Magic Number,The method contains a magic number: 1000003,50
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,toString,Long Statement,The length of the statement "return "Invocation{" + "receiver=" + receiver + "` "+ "actualValue="+ actualValue+ "` "+ "boxingInput="+ boxingInput+ "` "+ "name="+ name+ "}";" is 143.,52
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,equals,Long Statement,The length of the statement "return (this.receiver == null ? that.receiver() == null : this.receiver.equals(that.receiver())) && (this.actualValue == null ? that.actualValue() == null : this.actualValue.equals(that.actualValue())) && (this.boxingInput == null ? that.boxingInput() == null : this.boxingInput.equals(that.boxingInput()))&& this.name.equals(that.name());" is 339.,62
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,hashCode,Magic Number,The method contains a magic number: 1000003,77
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,hashCode,Magic Number,The method contains a magic number: 1000003,77
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,hashCode,Magic Number,The method contains a magic number: 1000003,77
truth,com.google.common.truth,AutoValue_ActualValueInference_Invocation,hashCode,Magic Number,The method contains a magic number: 1000003,77
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,hashCode,Magic Number,The method contains a magic number: 1000003,59
truth,com.google.common.truth,AutoValue_ActualValueInference_FrameInfo,hashCode,Magic Number,The method contains a magic number: 1000003,59
truth,com.google.common.truth,AutoValue_ActualValueInference_DescribedEntry,hashCode,Magic Number,The method contains a magic number: 1000003,50
truth,com.google.common.truth,AutoValue_ActualValueInference_DescribedEntry,hashCode,Magic Number,The method contains a magic number: 1000003,50
truth,com.google.common.truth,AutoValue_ActualValueInference_InferredType,hashCode,Magic Number,The method contains a magic number: 1000003,37
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 2,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 3,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 3,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 2,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 2,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleEntries,Magic Number,The method contains a magic number: 3,102
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 2,112
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 3,112
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 2,112
truth,com.google.common.truth,MapSubjectTest,containsExactlyDuplicateKeys,Magic Number,The method contains a magic number: 3,112
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Long Statement,The length of the statement "assertThat(expected).hasMessageThat().isEqualTo("Duplicate keys ([jan x 2` feb x 2]) cannot be passed to containsExactly().");" is 126.,126
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 2,126
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 3,126
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 2,126
truth,com.google.common.truth,MapSubjectTest,containsExactlyMultipleDuplicateKeys,Magic Number,The method contains a magic number: 2,126
